,LapTime,Driver,LapNumber,Stint,Compound,TyreLife,Team,TrackStatus,Position,FastestQualifyingLapTime
249,96663.0,LEC,37.0,3.0,MEDIUM,6.0,Ferrari,1,1.0,90558.0
250,96623.0,LEC,38.0,3.0,MEDIUM,7.0,Ferrari,1,1.0,90558.0
251,96939.0,LEC,39.0,3.0,MEDIUM,8.0,Ferrari,1,1.0,90558.0
252,96807.0,LEC,40.0,3.0,MEDIUM,9.0,Ferrari,1,1.0,90558.0
253,97044.0,LEC,41.0,3.0,MEDIUM,10.0,Ferrari,1,1.0,90558.0
254,97040.0,LEC,42.0,3.0,MEDIUM,11.0,Ferrari,1,1.0,90558.0
255,97346.0,LEC,43.0,3.0,MEDIUM,12.0,Ferrari,1,1.0,90558.0
256,97509.0,LEC,44.0,3.0,MEDIUM,13.0,Ferrari,1,1.0,90558.0
257,97413.0,LEC,45.0,3.0,MEDIUM,14.0,Ferrari,1,1.0,90558.0
258,125151.0,LEC,46.0,3.0,MEDIUM,15.0,Ferrari,64,1.0,90558.0
259,,LEC,47.0,4.0,SOFT,4.0,Ferrari,4,1.0,90558.0
260,,LEC,48.0,4.0,SOFT,5.0,Ferrari,4,1.0,90558.0
261,146221.0,LEC,49.0,4.0,SOFT,6.0,Ferrari,4,1.0,90558.0
262,144429.0,LEC,50.0,4.0,SOFT,7.0,Ferrari,4,1.0,90558.0
263,94570.0,LEC,51.0,4.0,SOFT,8.0,Ferrari,1,1.0,90558.0
264,95027.0,LEC,52.0,4.0,SOFT,9.0,Ferrari,1,1.0,90558.0
265,95127.0,LEC,53.0,4.0,SOFT,10.0,Ferrari,1,1.0,90558.0
266,95429.0,LEC,54.0,4.0,SOFT,11.0,Ferrari,1,1.0,90558.0
267,95427.0,LEC,55.0,4.0,SOFT,12.0,Ferrari,1,1.0,90558.0
268,95673.0,LEC,56.0,4.0,SOFT,13.0,Ferrari,1,1.0,90558.0
269,96373.0,LEC,57.0,4.0,SOFT,14.0,Ferrari,1,1.0,90558.0
